beta_3y_mthly,change,market_cap,name,one_yr_target_est,pe_ratio,perc_change,price,symbol,volume,volume_3_mth_avg
N/A,+0.10,9.056B,"Dropbox, Inc.",32.38,,+0.47%,21.25,DBX,2.141M,2.794M
1.27,+0.97,9.144B,Teledyne Technologies Incorporated,245.33,28.02,+0.39%,252.43,TDY,"157,046","154,719"
1.97,+1.65,9.287B,"EPAM Systems, Inc.",164.64,40.43,+0.97%,171.42,EPAM,"362,817","329,774"
1.81,+0.03,9.319B,ON Semiconductor Corporation,25.17,15.71,+0.13%,22.62,ON,5.253M,6.774M
1.80,+1.72,9.319B,IPG Photonics Corporation,167.29,23.78,+0.99%,175.48,IPGP,"255,443","443,743"
1.43,+0.15,9.372B,"Leidos Holdings, Inc.",73.11,17.17,+0.23%,65.25,LDOS,1.023M,"921,609"
0.95,+0.12,9.415B,"Qorvo, Inc.",71.57,165.62,+0.16%,76.68,QRVO,"912,616",1.183M
1.14,+1.00,9.597B,"Take-Two Interactive Software, Inc.",122.20,28.46,+1.11%,90.74,TTWO,1.728M,2.925M
2.27,+0.48,9.682B,Cognex Corporation,52.45,45.56,+0.86%,56.50,CGNX,"933,209",1.194M
0.74,-1.05,9.713B,"F5 Networks, Inc.",169.69,20.24,-0.64%,163.40,FFIV,"567,786","663,080"
0.22,+0.12,9.768B,"Juniper Networks, Inc.",25.97,17.51,+0.43%,28.01,JNPR,2.284M,3.559M
0.71,+0.03,10.204B,Open Text Corporation,44.41,39.26,+0.08%,38.08,OTEX,"361,885","472,387"
N/A,+0.12,10.221B,Sea Limited,25.78,,+0.53%,22.97,SE,4.068M,5.016M
0.91,-2.74,10.218B,"Tableau Software, Inc.",136.08,,-2.26%,118.57,DATA,2.262M,1.162M
0.96,+0.12,10.246B,Micro Focus International plc,N/A,18.94,+0.49%,24.77,MFGP,"309,209","557,745"
1.14,-0.26,10.318B,"Okta, Inc.",88.53,,-0.28%,91.94,OKTA,1.87M,2.015M
1.84,+0.13,10.381B,Trimble Inc.,43.88,36.73,+0.32%,41.14,TRMB,"792,202","979,200"
1.23,+0.01,10.467B,"The Ultimate Software Group, Inc.",325.71,160.39,+0.00%,330.41,ULTI,"364,002","685,832"
1.52,+0.09,10.759B,58.com Inc.,76.73,35.76,+0.12%,72.59,WUBA,"649,348","904,461"
1.55,+0.05,1.669B,Lattice Semiconductor Corporation,11.64,,+0.40%,12.66,LSCC,1.509M,2.032M
-0.04,-0.27,1.676B,"Instructure, Inc.",47.25,,-0.58%,46.23,INST,"361,968","384,361"
1.35,-0.10,1.687B,Knowles Corporation,17.25,24.99,-0.54%,18.57,KN,"639,742","930,720"
N/A,0.00,1.716B,"Eventbrite, Inc.",27.00,,0.00%,21.90,EB,"584,041","663,190"
0.45,-0.07,1.768B,"SPS Commerce, Inc.",107.22,74.40,-0.07%,101.18,SPSC,"103,050","153,419"
0.62,-0.72,1.798B,"LivePerson, Inc.",33.42,,-2.50%,28.12,LPSN,"577,512","748,838"
1.07,-1.42,1.799B,"Varonis Systems, Inc.",65.46,,-2.31%,59.99,VRNS,"343,715","479,774"
0.73,-0.10,1.819B,Cision Ltd.,16.80,,-0.81%,12.26,CISN,"885,075","544,462"
1.13,-0.24,1.853B,Sunrun Inc.,18.56,70.74,-1.45%,16.27,RUN,"866,777",1.114M
1.72,-0.24,1.878B,Tower Semiconductor Ltd.,23.02,13.39,-1.34%,17.67,TSEM,"208,189","591,914"
0.85,-0.63,1.881B,Diodes Incorporated,44.00,18.23,-1.67%,37.18,DIOD,"240,605","380,458"
1.11,-4.86,1.887B,Plexus Corp.,69.00,15.36,-7.37%,61.05,PLXS,"354,697","164,262"
0.99,+0.51,1.891B,ESCO Technologies Inc.,80.00,25.43,+0.70%,72.96,ESE,"37,376","93,350"
1.11,-0.31,1.913B,"Bottomline Technologies (de), Inc.",60.22,124.26,-0.66%,46.97,EPAY,"217,247","344,443"
0.45,+0.42,1.927B,"Inovalon Holdings, Inc.",14.17,,+3.44%,12.62,INOV,"709,332","490,551"
1.76,+0.07,1.954B,"MaxLinear, Inc.",22.40,,+0.25%,27.72,MXL,"309,591","547,474"
1.07,-0.65,1.987B,Progress Software Corporation,46.00,34.27,-1.43%,44.65,PRGS,"269,140","512,540"
3.30,0.00,1.992B,"Luxoft Holding, Inc.",51.33,48.19,0.00%,58.79,LXFT,"53,737","367,146"
1.41,-0.16,1.998B,"Itron, Inc.",68.33,,-0.32%,50.12,ITRI,"155,864","297,791"
N/A,+0.33,2.002B,Upwork Inc.,25.29,,+1.79%,18.76,UPWK,"763,430","602,796"
0.44,-0.04,2.034B,"SolarEdge Technologies, Inc.",49.00,16.00,-0.09%,43.04,SEDG,"546,447","600,295"
1.35,-0.88,2.043B,"Insight Enterprises, Inc.",58.50,12.55,-1.52%,57.12,NSIT,"122,094","200,420"
1.71,-0.27,2.069B,"Plantronics, Inc.",87.50,,-0.51%,52.41,PLT,"196,236","453,966"
1.88,-0.22,2.078B,Inphi Corporation,42.71,,-0.47%,46.70,IPHI,"381,862","637,795"
N/A,-0.33,2.085B,"Zuora, Inc.",27.14,,-1.69%,19.22,ZUO,1.328M,1.719M
0.13,-0.18,2.096B,"EVERTEC, Inc.",29.00,25.73,-0.60%,29.85,EVTC,"308,686","496,185"
N/A,+0.09,2.121B,Sogou Inc.,6.30,21.68,+1.69%,5.42,SOGO,"696,818","979,624"
1.08,0.00,2.164B,"Amkor Technology, Inc.",7.27,17.04,0.00%,9.03,AMKR,"630,384","907,919"
1.38,-1.02,2.186B,Workiva Inc.,46.20,,-2.03%,49.35,WK,"227,992","327,888"
1.64,+0.64,2.199B,"Advanced Energy Industries, Inc.",55.50,15.38,+1.13%,57.52,AEIS,"364,234","281,083"
0.95,-0.11,2.202B,Sanmina Corporation,36.33,23.04,-0.34%,32.18,SANM,"234,115","457,462"
0.38,-0.12,2.212B,Fabrinet,58.20,21.93,-0.20%,60.03,FN,"329,189","413,348"
N/A,+0.10,2.214B,SVMK Inc.,17.07,,+0.58%,17.48,SVMK,"535,768",1.594M
0.75,+0.15,2.215B,ManTech International Corporation,63.50,26.99,+0.27%,55.58,MANT,"85,304","133,733"
0.93,-0.81,2.217B,"Yext, Inc.",24.71,,-3.84%,20.29,YEXT,"953,244",1.093M
0.87,+0.13,2.243B,"Power Integrations, Inc.",60.80,33.28,+0.17%,77.22,POWI,"52,894","146,893"
N/A,0.00,2.26B,Qutoutiao Inc.,10.07,,0.00%,9.00,QTT,1.062M,2.024M
2.15,-0.11,2.281B,"Brooks Automation, Inc.",41.67,19.73,-0.35%,31.70,BRKS,"334,552","609,590"
0.99,+0.15,2.307B,"NetScout Systems, Inc.",28.00,,+0.51%,29.64,NTCT,"385,602","378,633"
2.59,+0.93,2.321B,Belden Inc.,N/A,25.63,+1.19%,78.94,BDC-PB,"8,016","29,356"
2.83,+0.56,2.324B,Belden Inc.,68.57,19.13,+0.96%,58.92,BDC,"218,356","470,391"
1.73,-0.75,2.35B,"Acacia Communications, Inc.",56.88,483.50,-1.28%,58.02,ACIA,"675,204","834,887"
N/A,-0.41,2.403B,"SailPoint Technologies Holdings, Inc.",33.69,678.75,-1.49%,27.15,SAIL,"776,707",1.036M
0.89,-0.12,2.549B,"Liberty Expedia Holdings, Inc.",51.00,,-0.27%,44.56,LEXEA,"581,165","484,856"
